"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",9538,1781,93,6540,61,102478,621,14.13,2.64,93,110,370,10000,20000,29000,91000,91000,94000,102000,102000,102000
"GET","/api/articles/feed?limit=10",9322,1670,91,6064,61,100388,42,13.81,2.47,91,110,350,10000,20000,26000,91000,91000,93000,100000,100000,100000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",9266,1693,100,6279,62,102291,364,13.73,2.51,100,120,340,10000,20000,27000,91000,91000,94000,102000,102000,102000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",9485,1759,91,6439,61,102815,26,14.05,2.61,91,110,370,11000,21000,27000,91000,91000,95000,103000,103000,103000
"GET","/api/profiles/test",9510,1735,91,6353,61,103983,110,14.09,2.57,91,110,360,10000,20000,28000,91000,91000,93000,104000,104000,104000
"GET","/api/tags",9471,1689,81,6071,61,102463,23,14.03,2.50,81,97,240,9000,20000,28000,91000,91000,93000,102000,102000,102000
"GET","/api/user",9262,1751,85,6323,61,102675,233,13.72,2.59,85,100,360,11000,20000,27000,91000,91000,93000,103000,103000,103000
"PUT","/api/user",9437,1740,98,6240,61,102430,234,13.98,2.58,98,120,370,11000,20000,27000,91000,91000,94000,102000,102000,102000
"POST","/api/users/login",5000,3343,29000,47027,125,105637,99,7.41,4.95,29000,89000,93000,93000,94000,94000,94000,95000,104000,106000,106000,106000
"None","Aggregated",80291,17161,95,8826,61,105637,200,118.97,25.43,95,130,9500,13000,24000,60000,93000,94000,95000,104000,106000,106000
