"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",5403,892,95,5456,61,94028,636,14.33,2.37,95,130,490,2100,16000,25000,91000,91000,92000,94000,94000,94000
"GET","/api/articles/feed?limit=10",5376,868,94,5020,61,122012,42,14.26,2.30,94,130,530,3000,16000,24000,62000,91000,93000,122000,122000,122000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",5391,927,100,5323,61,101810,370,14.30,2.46,100,150,670,3300,16000,25000,90000,91000,92000,102000,102000,102000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",5384,915,92,5187,61,101757,28,14.28,2.43,92,130,550,2800,17000,24000,90000,91000,93000,102000,102000,102000
"GET","/api/profiles/test",5266,900,91,4917,61,94018,113,13.96,2.39,92,120,490,2100,16000,24000,62000,91000,92000,94000,94000,94000
"GET","/api/tags",5472,880,82,5027,61,101584,24,14.51,2.33,82,110,340,1100,16000,25000,90000,91000,92000,102000,102000,102000
"GET","/api/user",5306,844,86,4913,61,95532,240,14.07,2.24,86,120,520,2200,16000,24000,58000,91000,92000,96000,96000,96000
"PUT","/api/user",5366,893,99,5000,61,102031,239,14.23,2.37,99,130,450,1800,16000,25000,63000,91000,93000,102000,102000,102000
"POST","/api/users/login",2500,849,3200,18225,125,102310,193,6.63,2.25,3300,13000,21000,25000,91000,91000,92000,92000,102000,102000,102000,102000
"None","Aggregated",45464,7968,96,5828,61,122012,210,120.56,21.13,96,200,1000,4400,18000,26000,91000,91000,93000,102000,122000,122000
