"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",2490,9,95,204,61,3073,742,13.07,0.05,95,120,160,210,450,760,1200,1700,2900,3100,3100,3100
"GET","/api/articles/feed?limit=10",2477,15,93,216,62,3511,33,13.01,0.08,93,120,160,210,500,840,1300,1900,3200,3500,3500,3500
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",2486,10,100,258,61,4153,425,13.05,0.05,100,130,170,240,600,1100,1800,2400,4100,4200,4200,4200
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",2506,12,92,207,61,3406,15,13.16,0.06,92,110,140,190,480,790,1300,2000,3100,3400,3400,3400
"GET","/api/profiles/test",2414,8,93,223,62,3730,117,12.68,0.04,93,120,170,230,520,930,1500,1900,3100,3700,3700,3700
"GET","/api/tags",2369,7,82,167,63,1882,11,12.44,0.04,82,98,130,170,390,630,940,1200,1700,1900,1900,1900
"GET","/api/user",2450,15,87,200,62,2814,268,12.86,0.08,87,110,140,200,470,800,1300,1700,2500,2800,2800,2800
"PUT","/api/user",2526,13,99,241,62,4481,268,13.26,0.07,99,120,160,210,550,1000,1600,2100,4200,4500,4500,4500
"POST","/api/users/login",1000,2,440,519,124,1833,268,5.25,0.01,440,530,620,670,870,1000,1300,1500,1800,1800,1800,1800
"None","Aggregated",20718,91,96,230,61,4481,238,108.79,0.48,96,130,190,270,540,870,1400,1900,3500,4200,4500,4500
