"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",9464,1816,92,6732,61,122424,616,13.87,2.66,92,120,1700,11000,21000,28000,91000,92000,94000,122000,122000,122000
"GET","/api/articles/feed?limit=10",9643,1978,90,7092,62,122186,42,14.13,2.90,90,120,5200,12000,21000,32000,91000,92000,94000,122000,122000,122000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",9263,1826,100,7041,62,103855,357,13.58,2.68,100,140,3000,11000,21000,31000,91000,92000,95000,104000,104000,104000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",9230,1843,89,7151,61,102730,27,13.53,2.70,89,120,2200,11000,21000,32000,91000,92000,94000,103000,103000,103000
"GET","/api/profiles/test",9477,1942,90,7185,61,102643,108,13.89,2.85,90,120,4800,12000,21000,32000,91000,92000,95000,103000,103000,103000
"GET","/api/tags",9416,1853,80,6832,61,122443,23,13.80,2.72,80,100,1200,11000,21000,28000,91000,92000,94000,122000,122000,122000
"GET","/api/user",9574,1928,84,6905,62,103583,229,14.03,2.83,84,110,1800,11000,21000,31000,91000,92000,94000,104000,104000,104000
"PUT","/api/user",9395,1867,96,6668,62,103951,231,13.77,2.74,96,120,1700,11000,20000,27000,91000,92000,95000,104000,104000,104000
"POST","/api/users/login",5000,3278,26000,45628,125,125080,102,7.33,4.80,26000,85000,93000,93000,94000,94000,94000,95000,105000,125000,125000,125000
"None","Aggregated",80462,18331,94,9354,61,125080,198,117.93,26.87,94,190,11000,14000,24000,89000,93000,94000,97000,105000,125000,125000
