"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4706,924,98,5987,61,102469,614,13.49,2.65,98,340,1800,8200,19000,25000,91000,91000,93000,102000,102000,102000
"GET","/api/articles/feed?limit=10",4787,879,94,5953,61,92961,42,13.73,2.52,94,350,1700,7300,18000,26000,91000,91000,92000,93000,93000,93000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",4703,882,110,6247,61,102692,362,13.49,2.53,110,460,2600,8700,19000,26000,91000,91000,95000,103000,103000,103000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",4834,924,93,5914,61,93933,28,13.86,2.65,93,310,1700,8000,18000,26000,91000,91000,93000,94000,94000,94000
"GET","/api/profiles/test",4764,929,94,5801,60,102451,111,13.66,2.66,94,300,1500,7100,17000,25000,91000,91000,92000,102000,102000,102000
"GET","/api/tags",4725,876,83,5867,61,102192,24,13.55,2.51,83,250,990,4800,18000,25000,91000,91000,92000,102000,102000,102000
"GET","/api/user",4628,868,88,5755,60,101657,234,13.27,2.49,88,280,1200,6600,18000,25000,91000,91000,93000,102000,102000,102000
"PUT","/api/user",4746,897,100,6003,62,102806,234,13.61,2.57,100,320,1900,7700,18000,26000,91000,91000,94000,103000,103000,103000
"POST","/api/users/login",2500,783,5500,17728,127,102467,198,7.17,2.25,5500,11000,18000,22000,91000,91000,92000,92000,99000,102000,102000,102000
"None","Aggregated",40393,7962,100,6670,60,102806,205,115.83,22.83,100,570,3400,9100,20000,28000,91000,91000,93000,102000,103000,103000
