"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4480,529,92,4285,62,112365,670,12.95,1.53,92,100,130,280,13000,22000,60000,90000,92000,112000,112000,112000
"GET","/api/articles/feed?limit=10",4287,501,90,4659,62,101808,42,12.39,1.45,90,100,130,310,14000,23000,84000,90000,92000,102000,102000,102000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",4481,536,100,4736,62,109437,389,12.95,1.55,100,120,150,410,15000,25000,67000,90000,93000,109000,109000,109000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",4476,552,90,4694,61,158884,27,12.94,1.60,90,100,140,390,14000,23000,72000,90000,93000,159000,159000,159000
"GET","/api/profiles/test",4398,541,90,4635,61,96450,117,12.71,1.56,90,100,130,360,14000,23000,69000,90000,93000,96000,96000,96000
"GET","/api/tags",4251,536,80,4581,61,97407,24,12.29,1.55,80,90,110,300,14000,23000,67000,90000,93000,97000,97000,97000
"GET","/api/user",4403,556,84,4721,61,105327,249,12.73,1.61,84,94,130,450,15000,24000,74000,90000,92000,105000,105000,105000
"PUT","/api/user",4477,567,97,4706,62,111786,249,12.94,1.64,97,110,150,450,14000,24000,64000,89000,93000,112000,112000,112000
"POST","/api/users/login",5000,3610,35000,51227,616,161737,83,14.45,10.44,35000,93000,93000,93000,93000,93000,95000,98000,161000,162000,162000,162000
"None","Aggregated",40253,7928,95,10415,61,161737,206,116.37,22.92,95,140,8600,13000,31000,91000,93000,93000,104000,161000,162000,162000
