"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4416,492,98,3190,61,109435,679,11.95,1.33,98,120,180,750,11000,16000,32000,48000,90000,109000,109000,109000
"GET","/api/articles/feed?limit=10",4378,528,99,3029,62,91433,48,11.85,1.43,99,130,180,530,11000,15000,28000,48000,89000,91000,91000,91000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",4423,504,110,2990,62,92292,396,11.97,1.36,110,150,200,570,11000,16000,31000,43000,89000,92000,92000,92000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",4345,488,94,3163,61,120779,31,11.76,1.32,94,120,160,680,11000,16000,31000,44000,89000,121000,121000,121000
"GET","/api/profiles/test",4453,495,100,3148,62,90894,121,12.05,1.34,100,130,180,550,11000,16000,30000,50000,89000,91000,91000,91000
"GET","/api/tags",4479,511,84,3099,62,90683,27,12.12,1.38,84,100,130,330,10000,16000,31000,58000,89000,91000,91000,91000
"GET","/api/user",4368,471,91,3092,61,89681,256,11.82,1.27,91,120,160,710,11000,16000,29000,50000,89000,90000,90000,90000
"PUT","/api/user",4373,520,100,3138,62,99036,256,11.83,1.41,100,130,170,330,11000,17000,32000,49000,90000,99000,99000,99000
"POST","/api/users/login",5000,3809,90000,65090,6905,159948,72,13.53,10.31,90000,92000,92000,92000,92000,92000,93000,103000,160000,160000,160000,160000
"None","Aggregated",40235,7818,110,10809,61,159948,208,108.89,21.16,110,180,7500,11000,38000,92000,92000,92000,103000,160000,160000,160000
