"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4324,668,91,5448,62,119622,646,12.17,1.88,91,110,290,6100,16000,25000,89000,90000,93000,120000,120000,120000
"GET","/api/articles/feed?limit=10",4403,703,91,5551,63,100559,44,12.39,1.98,91,110,400,7500,16000,26000,89000,90000,92000,101000,101000,101000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",4368,685,99,5663,62,100859,375,12.29,1.93,99,130,410,7700,18000,26000,89000,90000,93000,101000,101000,101000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",4501,680,89,5153,62,100558,28,12.67,1.91,89,110,320,5200,16000,24000,72000,90000,92000,101000,101000,101000
"GET","/api/profiles/test",4544,724,90,5886,62,97074,113,12.79,2.04,90,120,460,7900,19000,27000,89000,90000,92000,97000,97000,97000
"GET","/api/tags",4468,706,81,5361,62,102421,25,12.58,1.99,81,98,360,4800,16000,25000,89000,90000,92000,102000,102000,102000
"GET","/api/user",4413,707,85,5610,62,101406,242,12.42,1.99,85,100,350,6100,17000,26000,89000,90000,93000,101000,101000,101000
"PUT","/api/user",4458,687,97,5515,62,102647,244,12.55,1.93,97,120,330,6700,17000,26000,89000,90000,92000,103000,103000,103000
"POST","/api/users/login",5000,3517,36000,51375,553,162024,87,14.07,9.90,36000,93000,93000,93000,93000,93000,94000,98000,124000,162000,162000,162000
"None","Aggregated",40479,9077,96,11187,62,162024,197,113.93,25.55,96,390,11000,15000,33000,91000,93000,93000,104000,124000,162000,162000
