"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4760,719,100,5445,61,113729,649,12.12,1.83,100,170,3100,8800,16000,24000,61000,90000,91000,114000,114000,114000
"GET","/api/articles/feed?limit=10",4598,705,100,5296,62,121108,45,11.71,1.80,100,160,2500,8100,16000,23000,64000,90000,96000,121000,121000,121000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",4693,718,110,5516,62,100102,379,11.95,1.83,110,200,3900,9300,16000,25000,55000,90000,91000,100000,100000,100000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",4743,787,97,5493,62,97375,31,12.08,2.00,97,160,3200,9000,16000,24000,77000,90000,91000,97000,97000,97000
"GET","/api/profiles/test",4761,778,100,5337,62,97062,116,12.13,1.98,100,180,2500,8300,16000,24000,69000,90000,91000,97000,97000,97000
"GET","/api/tags",4697,715,87,4888,62,158167,27,11.96,1.82,87,130,1300,4800,15000,23000,62000,90000,94000,158000,158000,158000
"GET","/api/user",4816,769,94,5100,62,94439,244,12.27,1.96,94,150,1400,5300,14000,23000,89000,90000,91000,94000,94000,94000
"PUT","/api/user",4687,746,110,5645,62,106237,245,11.94,1.90,110,180,4000,9600,17000,25000,77000,90000,92000,106000,106000,106000
"POST","/api/users/login",2500,1042,16000,27519,475,121167,174,6.37,2.65,16000,21000,26000,33000,90000,91000,91000,91000,101000,121000,121000,121000
"None","Aggregated",40255,6979,110,6717,61,158167,215,102.53,17.78,110,360,7500,11000,19000,27000,90000,91000,93000,114000,158000,158000
