"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",5675,1276,100,8248,61,102650,594,11.72,2.63,100,370,9800,13000,22000,41000,91000,92000,93000,103000,103000,103000
"GET","/api/articles/feed?limit=10",5661,1185,100,7648,62,93178,42,11.69,2.45,100,340,9100,12000,22000,33000,91000,92000,93000,93000,93000,93000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",5692,1237,120,7974,62,95718,351,11.75,2.55,120,420,9900,13000,22000,35000,91000,92000,93000,96000,96000,96000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",5547,1178,100,7806,62,99758,28,11.45,2.43,100,320,9800,13000,22000,31000,91000,92000,93000,100000,100000,100000
"GET","/api/profiles/test",5800,1249,110,8219,62,102392,108,11.98,2.58,110,420,9900,13000,23000,35000,91000,92000,93000,102000,102000,102000
"GET","/api/tags",5661,1263,90,7750,62,94674,24,11.69,2.61,90,400,9100,13000,22000,32000,91000,92000,93000,95000,95000,95000
"GET","/api/user",5670,1292,97,8296,62,122169,225,11.71,2.67,97,390,9600,13000,23000,44000,91000,92000,93000,122000,122000,122000
"PUT","/api/user",5807,1277,110,8001,62,94746,226,11.99,2.64,110,440,9800,13000,22000,34000,91000,92000,93000,95000,95000,95000
"POST","/api/users/login",5000,3262,25000,43764,498,104244,104,10.32,6.74,25000,53000,92000,92000,93000,93000,93000,93000,104000,104000,104000,104000
"None","Aggregated",50513,13219,120,11535,61,122169,191,104.30,27.29,120,7600,14000,18000,28000,91000,92000,93000,94000,104000,122000,122000
