"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",9573,1326,97,4516,61,113263,659,13.48,1.87,97,120,170,610,14000,23000,51000,89000,92000,113000,113000,113000
"GET","/api/articles/feed?limit=10",9378,1261,98,4511,62,129514,44,13.20,1.78,98,120,190,960,14000,23000,48000,89000,93000,130000,130000,130000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",9525,1292,110,4485,61,111795,386,13.41,1.82,110,140,200,750,14000,23000,48000,89000,93000,112000,112000,112000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",9575,1332,94,4702,62,119507,29,13.48,1.87,94,110,170,890,14000,24000,56000,89000,92000,120000,120000,120000
"GET","/api/profiles/test",9365,1281,99,4585,61,99260,118,13.18,1.80,99,130,180,550,14000,23000,54000,89000,92000,99000,99000,99000
"GET","/api/tags",9440,1304,84,4484,62,100491,26,13.29,1.84,84,100,130,390,14000,23000,54000,90000,92000,100000,100000,100000
"GET","/api/user",9549,1329,91,4546,62,99745,248,13.44,1.87,91,110,160,620,14000,23000,53000,89000,92000,100000,100000,100000
"PUT","/api/user",9501,1344,100,4857,62,113247,248,13.37,1.89,100,130,180,770,15000,24000,67000,90000,92000,113000,113000,113000
"POST","/api/users/login",5000,3608,45000,54183,492,159782,84,7.04,5.08,45000,92000,93000,93000,93000,93000,93000,96000,104000,160000,160000,160000
"None","Aggregated",80906,14077,100,7651,61,159782,212,113.89,19.82,100,140,650,9900,21000,50000,92000,93000,95000,105000,160000,160000
