"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",4059,866,100,7328,8,101879,603,10.87,2.32,100,240,8400,12000,22000,34000,91000,91000,95000,102000,102000,102000
"GET","/api/articles/feed?limit=10",4088,824,100,7326,7,96938,42,10.95,2.21,100,310,8700,12000,21000,33000,91000,91000,96000,97000,97000,97000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",3972,850,120,7691,8,101884,352,10.64,2.28,120,310,9200,13000,21000,35000,91000,91000,96000,102000,102000,102000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",3902,816,99,7247,8,96723,28,10.45,2.19,99,210,8100,12000,21000,32000,91000,91000,95000,97000,97000,97000
"GET","/api/profiles/test",4042,816,100,7078,9,101622,110,10.83,2.19,100,230,7600,11000,21000,33000,91000,91000,94000,102000,102000,102000
"GET","/api/tags",3977,849,90,7169,9,101898,26,10.65,2.27,90,180,6800,11000,21000,32000,91000,91000,97000,102000,102000,102000
"GET","/api/user",4004,829,96,7132,8,96700,229,10.73,2.22,96,210,6800,11000,21000,33000,91000,91000,94000,97000,97000,97000
"PUT","/api/user",3961,865,110,7796,8,96258,228,10.61,2.32,110,260,8700,12000,22000,38000,91000,92000,95000,96000,96000,96000
"POST","/api/users/login",10000,8425,57000,56482,6,127662,48,26.79,22.57,57000,95000,96000,97000,97000,97000,97000,102000,108000,128000,128000,128000
"None","Aggregated",42005,15140,150,19043,6,127662,166,112.52,40.56,150,13000,21000,29000,92000,97000,97000,97000,108000,108000,128000,128000
