"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",2351,9,95,138,63,1597,742,12.67,0.05,95,110,120,140,230,370,600,800,1200,1600,1600,1600
"GET","/api/articles/feed?limit=10",2377,7,93,142,64,1738,33,12.81,0.04,93,110,120,130,240,390,730,980,1300,1700,1700,1700
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",2421,5,100,159,63,2168,426,13.05,0.03,100,120,140,160,280,460,720,970,1900,2200,2200,2200
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",2339,9,93,140,61,1617,15,12.61,0.05,93,110,120,130,240,390,660,870,1400,1600,1600,1600
"GET","/api/profiles/test",2382,14,92,143,62,1759,117,12.84,0.08,92,100,120,140,250,420,710,1000,1500,1800,1800,1800
"GET","/api/tags",2497,11,82,129,63,1899,11,13.46,0.06,82,90,100,120,230,400,640,830,1500,1900,1900,1900
"GET","/api/user",2424,1,85,135,68,1699,268,13.06,0.01,85,95,110,120,220,410,750,960,1500,1700,1700,1700
"PUT","/api/user",2423,7,99,146,62,1646,268,13.06,0.04,99,110,130,140,230,410,710,870,1500,1600,1600,1600
"POST","/api/users/login",1000,4,440,483,124,1574,268,5.39,0.02,440,510,560,610,760,910,1100,1200,1600,1600,1600,1600
"None","Aggregated",20214,67,94,158,61,2168,236,108.95,0.36,94,110,130,160,330,510,760,970,1500,1900,2200,2200
