"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",5684,1261,97,8812,61,104357,594,12.58,2.79,97,260,8700,13000,23000,89000,92000,94000,94000,104000,104000,104000
"GET","/api/articles/feed?limit=10",5778,1303,97,9257,61,105290,40,12.78,2.88,97,380,10000,13000,24000,91000,92000,94000,95000,105000,105000,105000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",5751,1265,110,8667,62,105650,348,12.72,2.80,110,300,9200,13000,23000,54000,92000,94000,95000,106000,106000,106000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",5589,1211,95,8755,61,105240,26,12.37,2.68,95,250,8800,13000,23000,56000,92000,94000,96000,105000,105000,105000
"GET","/api/profiles/test",5586,1277,96,9265,62,105172,104,12.36,2.83,96,360,9900,14000,24000,91000,92000,94000,95000,105000,105000,105000
"GET","/api/tags",5696,1255,85,9014,61,104737,23,12.60,2.78,85,230,8300,12000,24000,92000,92000,93000,95000,105000,105000,105000
"GET","/api/user",5527,1289,90,8986,61,104564,221,12.23,2.85,90,290,9100,13000,24000,63000,92000,94000,95000,105000,105000,105000
"PUT","/api/user",5762,1355,100,9551,62,105207,221,12.75,3.00,100,310,9700,14000,24000,92000,93000,94000,97000,105000,105000,105000
"POST","/api/users/login",5000,3043,22000,39779,143,109384,117,11.06,6.73,22000,39000,93000,93000,94000,94000,94000,95000,106000,109000,109000,109000
"None","Aggregated",50373,13259,110,12091,61,109384,189,111.46,29.34,110,5700,13000,17000,32000,92000,94000,94000,97000,106000,109000,109000
