"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",1254,0,87,99,72,947,745,6.77,0.00,87,91,95,97,110,150,270,360,950,950,950,950
"GET","/api/articles/feed?limit=10",1187,0,85,99,72,835,33,6.41,0.00,85,89,93,97,120,150,300,360,690,840,840,840
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",1208,0,93,110,75,1311,427,6.52,0.00,93,97,100,110,120,160,300,490,1200,1300,1300,1300
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",1210,0,85,99,72,877,15,6.53,0.00,85,88,92,96,110,150,280,380,840,880,880,880
"GET","/api/profiles/test",1213,0,84,101,71,1006,117,6.55,0.00,84,88,92,95,110,160,360,480,850,1000,1000,1000
"GET","/api/tags",1200,0,76,88,67,858,11,6.48,0.00,76,78,81,84,97,120,290,350,790,860,860,860
"GET","/api/user",1224,0,80,95,69,828,269,6.61,0.00,80,83,86,89,100,140,320,430,720,830,830,830
"PUT","/api/user",1220,0,91,107,75,964,269,6.59,0.00,91,97,100,110,130,170,300,470,830,960,960,960
"POST","/api/users/login",500,0,470,460,256,1033,269,2.70,0.00,470,510,540,560,610,660,750,810,1000,1000,1000,1000
"None","Aggregated",10216,0,86,117,67,1311,240,55.15,0.00,86,92,97,100,150,360,520,590,880,1200,1300,1300
