"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",5994,463,93,1915,61,92648,695,12.83,0.99,93,110,130,170,500,14000,23000,34000,91000,93000,93000,93000
"GET","/api/articles/feed?limit=10",5951,494,91,1959,61,93407,40,12.74,1.06,91,100,120,150,510,14000,23000,33000,91000,93000,93000,93000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",6052,480,100,2070,61,101864,401,12.96,1.03,100,120,140,190,590,15000,23000,34000,91000,102000,102000,102000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",6033,467,91,1779,61,91499,23,12.92,1.00,91,110,120,160,500,14000,22000,29000,91000,91000,91000,91000
"GET","/api/profiles/test",5949,493,90,1853,61,101200,116,12.74,1.06,90,100,120,160,540,14000,23000,31000,92000,101000,101000,101000
"GET","/api/tags",6100,509,81,2027,60,92620,18,13.06,1.09,81,91,110,150,560,15000,24000,33000,91000,93000,93000,93000
"GET","/api/user",5923,502,85,2063,61,91942,255,12.68,1.07,85,96,120,160,560,15000,24000,34000,91000,92000,92000,92000
"PUT","/api/user",6082,493,98,2030,61,94535,256,13.02,1.06,98,120,140,180,560,14000,24000,34000,91000,95000,95000,95000
"POST","/api/users/login",2184,634,1400,11115,126,96460,211,4.68,1.36,1400,13000,16000,19000,25000,36000,90000,90000,92000,96000,96000,96000
"None","Aggregated",50268,4535,93,2360,60,101864,225,107.62,9.71,93,110,150,230,1600,16000,25000,39000,91000,101000,102000,102000
