"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",1187,0,87,195,71,2116,745,6.31,0.00,87,100,120,180,520,770,1100,1600,2000,2100,2100,2100
"GET","/api/articles/feed?limit=10",1198,0,87,210,71,2467,33,6.37,0.00,87,100,130,190,570,930,1200,1700,2400,2500,2500,2500
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",1216,0,96,260,74,2583,427,6.47,0.00,96,120,160,260,750,1200,1500,2100,2600,2600,2600,2600
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",1247,0,85,204,70,2109,15,6.63,0.00,85,96,120,200,540,820,1400,1600,1900,2100,2100,2100
"GET","/api/profiles/test",1220,0,87,233,71,2387,117,6.49,0.00,87,100,150,240,720,1000,1400,1800,2200,2400,2400,2400
"GET","/api/tags",1212,0,77,152,65,1309,11,6.45,0.00,77,85,100,150,390,590,770,830,1300,1300,1300,1300
"GET","/api/user",1195,0,81,197,68,2020,269,6.36,0.00,81,93,130,200,510,840,1200,1500,1900,2000,2000,2000
"PUT","/api/user",1262,0,93,242,72,2511,269,6.71,0.00,93,110,140,230,690,1100,1500,2000,2300,2500,2500,2500
"POST","/api/users/login",500,0,460,495,253,1317,269,2.66,0.00,460,530,590,620,760,880,1100,1200,1300,1300,1300,1300
"None","Aggregated",10237,0,89,226,65,2583,235,54.46,0.00,89,110,180,290,610,910,1300,1600,2300,2600,2600,2600
