"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",5660,1284,95,9498,61,105580,591,12.16,2.76,95,390,10000,14000,25000,92000,93000,94000,96000,106000,106000,106000
"GET","/api/articles/feed?limit=10",5654,1320,95,9812,62,104254,40,12.14,2.83,95,520,11000,15000,25000,92000,93000,94000,96000,104000,104000,104000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",5624,1323,110,10144,61,100373,342,12.08,2.84,110,530,11000,15000,26000,92000,93000,94000,95000,100000,100000,100000
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",5661,1406,94,10195,62,105590,27,12.16,3.02,94,620,11000,15000,26000,92000,93000,93000,100000,106000,106000,106000
"GET","/api/profiles/test",5725,1419,96,10125,62,105839,104,12.30,3.05,96,620,11000,15000,26000,92000,93000,93000,95000,106000,106000,106000
"GET","/api/tags",5577,1388,86,9902,61,104262,24,11.98,2.98,86,510,11000,15000,25000,92000,93000,94000,103000,104000,104000,104000
"GET","/api/user",5545,1380,89,10105,62,104891,217,11.91,2.96,89,560,11000,15000,26000,92000,93000,94000,98000,105000,105000,105000
"PUT","/api/user",5697,1388,100,9842,62,104330,219,12.24,2.98,100,600,11000,15000,25000,92000,93000,94000,100000,104000,104000,104000
"POST","/api/users/login",5000,2987,22000,41669,130,105905,120,10.74,6.42,22000,51000,93000,93000,94000,95000,95000,100000,106000,106000,106000,106000
"None","Aggregated",50143,13895,110,13115,61,105905,188,107.69,29.84,110,8100,14000,19000,39000,93000,94000,94000,104000,106000,106000,106000
